id,concept,layer,source_doc,code_path,status,tier,wave,blocks,gate,note
M-10,Snapshot test for routing boundary,measurement,checklist item 147,none,concept-only,T2,W1,,none,"read-only, pins current behaviour to detect drift"
M-11,"Chaos day, 24h random failure",measurement,checklist item 151,none,concept-only,T2,W4,,owner,requires explicit owner authorisation
M-12,CRM pipeline end-to-end with synthetic lead,measurement,checklist item 155,none,concept-only,T2,W3,,none,only way to measure the money path without opening auto_email
M-13,Out-of-sample test of the 0.99 Bayesian figure,measurement,C-009,none,concept-only,T2,W3,,none,in-sample only; overfitting signature
B-01,Edge Envelope profile: which Envelope fields a constrained board may emit,edge,not written anywhere,none,absent,T3,W2,B-02..B-06,none,NEW: this concept does not exist in any document; it is the merge point
B-02,"Board identity and attestation (which board, which firmware hash)",edge,not written anywhere,none,absent,T3,W2,B-04,none,"NEW: without it, a board event has no provenance"
B-03,OFN Node service/port contract (8791-8794) as machine-readable spec,edge,CLAUDE.md prose,none,concept-only,T3,W2,,none,"ports and subdomains exist in prose only, unverified"
B-04,ESP32 C3/S3 unified firmware contract,edge,O-3,none,blocked,T3,W2,,owner,O-3 open: separate or unified is an owner decision
B-05,"Edge propose-only guarantee: a board may propose, never execute",edge,"implied by DNA, never stated for edge",none,absent,T3,W2,,none,"NEW: the DNA rule exists for legs, not for boards"
B-06,Edge budget and rate caps per board,edge,not written anywhere,none,absent,T3,W2,,none,NEW: observatory has caps; boards have none
B-07,Board telemetry into Prometheus with run_id label,edge,partial,partial,concept-only,T3,W3,,none,depends on G-02
B-08,Offline/degraded behaviour when a board loses the network,edge,not written anywhere,none,absent,T3,W3,,none,NEW: fail-closed at the edge is undefined
V-01,"VBAA, 15 components incl. ArgumentProvenanceGuard and Merkle receipts",governance,deep-scan aspect 1,none,concept-only,T4,W4,,owner,explicitly a separate mission; do not start inside another lane
F-01,Fugu: observe/think/conclude/decide + EXPERIENCE-LEDGER,cognition,deep-scan aspect 1,none,concept-only,T4,W4,,none,
F-02,"BCM / APPLY / Pulse / Arbiter, coupled-not-merged",cognition,deep-scan aspect 1,none,concept-only,T4,W4,,none,
S-01,Prompt-injection honeypot,security,deep-scan aspect 1,none,concept-only,T4,W3,,none,the only attack path none of OBS-INV-1..10 covers
S-02,nftables default-deny policy,security,deep-scan aspect 1,none,proposal,T4,W4,,owner,
S-03,"CSP, X-Frame-Options, Referrer-Policy headers",security,deep-scan aspect 1,none,proposal,T4,W4,,owner,
S-04,VLAN segmentation for the board network,security,deep-scan aspect 1,none,proposal,T4,W4,,owner,becomes urgent once new boards join
S-05,Dependency scan on agent-initiated pip install,security,gap found this session,none,absent,T4,W3,,none,NEW: supply-chain path unguarded
D-01,SSE with TTFT timeout,nervous-system,TYPED-EVENTS plan,none,trial,T4,W3,,none,verdict: Trial
D-02,WebSocket pause/resume,nervous-system,TYPED-EVENTS plan,none,deferred,T4,-,,none,verdict: Defer
D-03,NATS replay,nervous-system,TYPED-EVENTS plan,none,deferred,T4,-,,none,verdict: Defer
D-04,Temporal / DBOS durable execution,nervous-system,TYPED-EVENTS plan,none,deferred,T4,-,,none,verdict: Defer or Reject
D-05,Qdrant vector store,nervous-system,TYPED-EVENTS plan,none,deferred,T4,-,,none,verdict: Defer pending benchmark
D-06,GraphRAG,nervous-system,TYPED-EVENTS plan,none,deferred,T4,-,,none,verdict: Defer pending benchmark
