id,territory,verdict,grade,impact,fixability,rank_IxF,owner_decision_needed,verified_this_session,seeded,anchor_quality,hypothesis
W-028,T1-money-path,CONFIRMED_BLOCKER,E3,3,3,9,False,True,False,resolvable,۵ کلید تصمیمِ چرخان، بازماندهٔ erratum over-ACK 09-16T20:25 هستند — دفتر تصمیم آلوده شده
W-029,T1-money-path,PARTIAL,E2,3,3,9,False,True,False,resolvable,قاعدهٔ «parked lane دوباره از مالک نمی‌پرسد» (AUTONOMY_V3 §9) احتمالاً یادآوری کارت‌های معلق را هم خفه کرده
W-030,T1-money-path,CONFIRMED_BLOCKER,E3,3,3,9,False,True,False,resolvable,هیچ ددلاین/اسکالیشنی روی کارت‌های مالک نیست؛ TRAFFIC-DECISION پیش‌نمونهٔ ۴.۸ روز سکوت است
W-031,T1-money-path,CONFIRMED_BLOCKER,E3,3,3,9,False,True,False,resolvable,sent-log فیلد variant/segment ندارد — انتساب پاسخ به پیشنهاد ناممکن است
W-033,T1-money-path,CONFIRMED_BLOCKER,E3,3,3,9,False,True,False,resolvable,هیچ لاگ bounce/undeliverable در پوشهٔ قیف نیست؛ ارسال‌های مرده دیده نمی‌شوند
W-223,T11-channels,CONFIRMED_BLOCKER,E2,3,3,9,True,True,False,resolvable,کانال تلفن برای B2B غایب است در حالی که تلفن کانال اصلی پیمانکار/استراتا است
W-231,T11-channels,UNVERIFIED,E0,3,3,9,True,True,False,resolvable,شبکهٔ شخصی مالک (ارزان‌ترین کانال B2B) به‌عنوان کانال صفر استفاده نشده
W-037,T2-demand-market,UNVERIFIED,E1,3,3,9,False,False,False,resolvable,Airtasker صفر سرنخ می‌دهد و علتش هرگز اندازه‌گیری نشده
W-044,T2-demand-market,CONFIRMED_BLOCKER,E3,3,3,9,True,True,False,resolvable,۲۹ سرنخ تلفنی بدون هیچ خروجی، سهم ۳۰٪ بانک سرنخ را بی‌استفاده گذاشته
W-046,T2-demand-market,PARTIAL,E2,3,3,9,False,True,False,resolvable,پیام‌های ارسالی قالب یکسان دارند و شخصی‌سازی بازار (NSW strata) محدود است
W-049,T2-demand-market,UNVERIFIED,E1,3,3,9,False,False,False,resolvable,جدول رقبا وجود ندارد؛ قیمت‌گذاری بدون مرجع بازار انجام شده
W-051,T2-demand-market,PARTIAL,E2,3,3,9,False,True,False,resolvable,کانال ایمیل فقط ۶۸ مخاطب دارد و هیچ growth loop (اشتراک/محتوای ورودی) ندارد
W-052,T2-demand-market,PARTIAL,E2,3,3,9,False,True,False,resolvable,هیچ تست بازار (پیام به ۲۰ سرنخ جدید با ۳ پیام مختلف) طراحی نشده؛ فرض‌ها بی‌آزمون می‌مانند
W-054,T2-demand-market,PARTIAL,E2,3,3,9,False,True,False,resolvable,پاسخ‌دقیق به سؤال مشتری اول (کدام ساختمان) مستند نشده که چرخهٔ بعدی آن را ببیند
W-059,T2-demand-market,CONFIRMED_BLOCKER,E2,3,3,9,False,True,False,resolvable,همهٔ اندازه‌گیری‌ها روی «فرستاده شد» متمرکزند نه «پاسخ آمد» — معیار انگیزشی اشتباه
W-081,T2-demand-market,CONFIRMED_BLOCKER,E3,3,3,9,False,True,False,resolvable,بانک سرنخ از ۰۹-۱۶ رشد نکرده — ماشین تولید سرنخ جدید خواب است
W-062,T3-offer-product,UNVERIFIED,E1,3,3,9,False,False,False,resolvable,SKU قهرمان REV-1 هرگز ساخته نشد؛ مسیر SKU C/D/E هم باز مانده
W-063,T3-offer-product,UNVERIFIED,E3,3,3,9,False,False,False,resolvable,بستهٔ پیشنهاد نقاشی هیچ نمونه‌کار/کیس‌استادی ندارد
W-071,T3-offer-product,PARTIAL,E2,3,3,9,False,True,False,resolvable,پیام‌ها #A/B ندارند جز subject؛ بدنِ پیام هرگز آزمون نشد
W-074,T3-offer-product,UNVERIFIED,E1,3,3,9,False,False,False,resolvable,موجودی صفرِ محصولات قهرمان تا ۰۹-۱۷ ادامه داشت؛ فروش بالقوه صفر شد
W-083,T4-owner-dependency,UNVERIFIED,E1,3,3,9,True,False,False,resolvable,شمارهٔ تماس نمایشی مالک (AUTO1) هرگز تأمین نشد؛ صف تماس fail-closed از ۰۹-۰۸ خاموش است
W-084,T4-owner-dependency,CONFIRMED_BLOCKER,E3,3,3,9,True,True,False,resolvable,خرید سرویس تماس DIDWW (حدود $۲۰) هم‌چنان اقدام مالک است و هیچ کارتی برایش در رجیستر نیست
W-092,T4-owner-dependency,CONFIRMED_BLOCKER,E3,3,3,9,False,True,False,resolvable,erratum over-ACK: برای ۵ کارت ردیف ACK نشست درحالی‌که مالک فقط ۲ کارت را نام برده بود — ۳ رأی جعلی وارد دفتر شد
W-093,T4-owner-dependency,CONFIRMED_BLOCKER,E2,3,3,9,True,True,False,resolvable,هیچ قاعدهٔ رفتار برای غیبت مالک (absence) وجود ندارد که تصمیم‌های کم‌ریسک را جلو ببرد
W-094,T4-owner-dependency,PARTIAL,E1,3,3,9,True,False,False,resolvable,حالت گزارش important-only نویز را کم کرد ولی با قاعدهٔ no-re-ask ترکیب شد و سکوت تصمیم ساخت
W-097,T4-owner-dependency,CONFIRMED_BLOCKER,E1,3,3,9,False,True,False,resolvable,هیچ مکانیزم դեadline/expiry برای ردیف‌های رأی باز نیست؛ رجیستر رأی می‌تواند بی‌نهایت رشد کند
W-106,T4-owner-dependency,CONFIRMED_BLOCKER,E3,3,3,9,True,True,False,resolvable,هیچ کارتی برای برداشتن hold زیمن وجود ندارد؛ یک قفل راهبردی بدون مسیر رأی مانده
W-108,T4-owner-dependency,PARTIAL,E2,3,3,9,False,True,False,resolvable,کارت‌های معلق مالک هیچ خلاصهٔ «پیامد ادامهٔ انتظار» ندارند — مالک هزینهٔ تأخیر را نمی‌بیند
W-S05,T4-owner-dependency,UNVERIFIED,E2,3,3,9,True,True,True,resolvable,فرمت رأی «تأیید <8hex>» تازه (09-17) است و نرخ تبدیل کارت→رأی هرگز اندازه‌گیری نشده
W-112,T5-governance-friction,PARTIAL,E1,3,3,9,False,False,False,resolvable,هر اثر خارجی رسید + pre-image می‌خواهد؛ سربار دائم روی هر قدم ارسال
W-115,T5-governance-friction,UNVERIFIED,E1,3,3,9,False,False,False,resolvable,رجیستر UNLOCK با ۱۵+ قفل PROPOSED که هرگز EXECUTED نشده — دروازه‌های بازنشده انبار شده‌اند
W-120,T5-governance-friction,CONFIRMED_BLOCKER,E1,3,3,9,False,False,False,resolvable,کلید B5 (circuit breaker) باز است و مسیر repair مربوطه قطار FAIL تولید می‌کند
W-121,T5-governance-friction,CONFIRMED_BLOCKER,E1,3,3,9,False,False,False,resolvable,نقص starvation اجراکننده (OW-8): یک درخواست بلاک‌شده کل دستهٔ B8 را می‌خواباند
W-122,T5-governance-friction,UNVERIFIED,E1,3,3,9,False,False,False,resolvable,TRIO-002 و W3G30 (مصرف‌کنندهٔ تصمیم + precondition freeze + CATSCOPE) دیپلوی‌نشده در صف مانده
W-128,T5-governance-friction,CONFIRMED_BLOCKER,E1,3,3,9,False,True,False,resolvable,هیچ SLA/انقضا روی آیتم‌های حاکمیتی باز وجود ندارد (رأی، دروازه، قفل) — صف باز بی‌کران رشد می‌کند
W-131,T6-learning,PARTIAL,E3,3,3,9,False,True,False,resolvable,از ۱۸۷ ردیف واقعی فقط ۱۴۱ ردیف learnable است؛ ۲۵٪ دادهٔ تصمیم بی‌کلید می‌ماند
W-132,T6-learning,CONFIRMED_BLOCKER,E3,3,3,9,False,True,False,resolvable,تنها کلید چندردیفی، متناقض است (هم accept هم reject روی یک پیشنهاد) — حافظه روی آن اجباراً برای یک ردیف غلط می‌شود
W-135,T6-learning,PARTIAL,E2,3,3,9,False,True,False,resolvable,recorder تصمیم فقط از ۰۹-۱۷ کلید می‌نویسد؛ همهٔ ردیف‌های قبل بی‌کلیدند و قابل یادگیری نیستند
W-141,T6-learning,CONFIRMED_BLOCKER,E3,3,3,9,False,True,False,resolvable,فایل حافظهٔ ایجنت‌ها از سقف خودش بزرگ‌تر است (۵۴.۸KB در برابر سقف ۲۴.۴KB) — حافظه بریده می‌شود
W-143,T6-learning,CONFIRMED_BLOCKER,E3,3,3,9,False,True,False,resolvable,حکم یادگیری در دو چرخه هیچ تغییری نکرده (delta 0/0/0) — گرادیان صفر
W-146,T7-agent-architecture,CONFIRMED_BLOCKER,E1,3,3,9,False,True,False,resolvable,entry-point پروژه به سند ۰۹-۰۴ اشاره می‌کند در حالی که ۰۹-۰۶/۰۹-۰۷ هم وجود دارند و هیچ‌کدام لِین‌های جدید را نمی‌بینند
W-160,T7-agent-architecture,PARTIAL,E1,3,3,9,False,False,False,resolvable,خود deep-scan باید سرویس شود وگرنه به همان فراموشی‌ای که فهرست کرده برمی‌گردد
W-161,T7-agent-architecture,CONFIRMED_BLOCKER,E2,3,3,9,False,True,False,resolvable,رجیستر ۱۶۰ موردی بدهی با ۰ resolved / ۰ executed عملاً فقط انباشت است
W-164,T7-agent-architecture,PARTIAL,E1,3,3,9,False,True,False,resolvable,۵ سند «نقطهٔ ورود» موازی وجود دارد؛ جهت‌گیری ایجنت مبهم است
W-S10,T7-agent-architecture,CONFIRMED_BLOCKER,E1,3,3,9,False,True,True,resolvable,دو فایل CURRENT-TRUTH زنده هم‌زمان وجود دارند؛ انتخاب توسط mtime است نه قاعده
W-S11,T8-knowledge-debt,CONFIRMED_BLOCKER,E1,3,3,9,False,False,True,resolvable,بخش بزرگی از وال بی‌اتصال است (۶۶٪ از ۴۲.۸GB)، پس دانش برای تصمیم‌گیری عملاً نامرئی است
W-187,T9-attention-priority,PARTIAL,E1,3,3,9,False,True,False,resolvable,تولید megapromptهای متعدد در ۰۷-HANDOFF نشان می‌دهد بخشی از توجه صرف طراحی مأموریت جایگزین خود مأموریت شده
W-188,T9-attention-priority,CONFIRMED_BLOCKER,E2,3,3,9,False,True,False,resolvable,۴۸۲ بررسی صفر-سفارش یعنی ساعت‌ها رصد بدون هیچ اقدام تولید تقاضا
W-194,T9-attention-priority,CONFIRMED_BLOCKER,E1,3,3,9,False,True,False,resolvable,هیچ سند/قاعده‌ای برای تقسیم زمان بین کار درآمدی و متاکار وجود ندارد
W-195,T9-attention-priority,PARTIAL,E1,3,3,9,False,False,False,resolvable,ORDER-LAW هیچ ابزار اجرایی ندارد (فقط سند)؛ نقض آن دوباره قابل تکرار است
W-198,T9-attention-priority,CONFIRMED_BLOCKER,E3,3,3,9,False,True,False,resolvable,داشبورد جهت‌گیری (DASHBOARD.json) سه روز کهنه است؛ اعداد جهت‌گیری با واقعیت هم‌گام نیست
W-003,T1-money-path,PARTIAL,E2,4,2,8,True,True,False,resolvable,انتخاب SEND_YOURSELF توسط مالک در 09-16 ارسال ماشینی را به رأی دسته‌به‌دسته گره زده و کار را به مالک منتقل کرده
W-011,T1-money-path,UNVERIFIED,E2,4,2,8,False,True,False,resolvable,meter چهار پاسخ شناسایی‌شده نشان می‌دهد ولی sent-log فقط یک reply_1 دارد — سرنوشت ۳ پاسخ نامعلوم است
W-019,T1-money-path,CONFIRMED_BLOCKER,E1,4,2,8,True,False,False,resolvable,تبلیغ پولی و هر خرید ترافیک در مرز سرخ است؛ تولید تقاضا به ۶۸ ایمیل سرد محدود مانده
W-S13,T10-infra-fleet,PARTIAL,E1,4,2,8,False,False,True,resolvable,نجات زیرساخت (OOM/EROFS/SD/برق) ساعت‌های جلسه را بلعیده و کار درآمدی را عقب انداخته
W-236,T12-buffer-external,CONFIRMED_BLOCKER,E3,4,2,8,False,True,False,resolvable,صفر اعتبارسنجی بیرونی: هیچ پیشنهادی هرگز پذیرفته یا رد نشده (۰ برد، ۱ پاسخ)
W-043,T2-demand-market,PARTIAL,E1,4,2,8,True,False,False,resolvable,مرز RED روی ارتباط عمومی، کانال‌های تقاضای ارزان را هم قفل می‌کند
W-080,T2-demand-market,CONFIRMED_BLOCKER,E2,4,2,8,False,True,False,resolvable,هیچ کانال ورودی ترافیک به فروشگاه وصل نیست: تبلیغ ممنوع، SEO و شبکه‌های اجتماعی صفر
W-061,T3-offer-product,UNVERIFIED,E1,4,2,8,True,False,False,resolvable,اقتصاد زیمن Placeholder است: قیمت واقعی/عکس ۲۰ واحد/بهای تمام‌شده باز است
W-090,T4-owner-dependency,CONFIRMED_BLOCKER,E3,4,2,8,True,True,False,resolvable,کل دفتر رأی مالک در ۵ روز فقط ۱۷ ردیف است — نرخ تصمیم‌گیری انسانی (~۲.۶/روز) با سرعت ماشین هم‌تراز نیست
W-096,T4-owner-dependency,CONFIRMED_BLOCKER,E1,4,2,8,True,False,False,resolvable,همهٔ مرزهای سرخ (خرید، ارتباط عمومی، فروش) روی یک نفر متمرکزند؛ هیچ تفویض/نماینده‌ای تعریف نشده
W-110,T4-owner-dependency,CONFIRMED_BLOCKER,E2,4,2,8,True,True,False,resolvable,حجم کار مالک (۲۰ رأی معلق + اقدام‌های فیزیکی + خریدها) با ظرفیت واقعی او (چند دقیقه در روز) هم‌خوان نیست
W-S06,T4-owner-dependency,CONFIRMED_BLOCKER,E1,4,2,8,True,False,True,resolvable,رجیستر ~۲۰ رأی معلق مالک در فصل‌های مختلف، بزرگ‌ترین صف انتظار سیستم است
W-111,T5-governance-friction,CONFIRMED_BLOCKER,E2,4,2,8,True,False,False,resolvable,آزادسازی دومرحله‌ای برای هر دستهٔ ارسال، فرکانس ارسال را به فرکانس رأی مالک گره می‌زند
W-S08,T6-learning,CONFIRMED_BLOCKER,E3,4,2,8,False,True,True,resolvable,نبود تصمیم تکرارشونده، یادگیری را صفر نگه داشته: تنها کلید تکرارشونده همان کلید متناقض است
W-147,T7-agent-architecture,CONFIRMED_BLOCKER,E1,4,2,8,False,False,False,resolvable,runtime دقیقاً worktree را اجرا می‌کند نه commit را — commit رفتار را توصیف نمی‌کند
W-004,T1-money-path,UNVERIFIED,E1,3,2,6,True,False,False,resolvable,گیت پول فقط طرح دارد و بستهٔ خرجِ قابل‌فراخوان وجود ندارد؛ هیچ اقدام پولی واقعی end-to-end اجرا نشده
W-007,T1-money-path,PARTIAL,E2,2,3,6,False,True,False,resolvable,سقف روزانهٔ ۱۰ ارسال با حساب ناسازگار رعایت شده (روزی ۱۱ ردیف) — اثبات بی‌قاعدگی در گیت سقف
W-012,T1-money-path,PARTIAL,E2,3,2,6,False,True,False,resolvable,rate card وجود ندارد و همین RATE_CARD_MISSING را به گیت PRICE_VALIDATED می‌بندد
W-018,T1-money-path,PARTIAL,E3,2,3,6,False,True,False,resolvable,capability-school-revenue با عنوان ترافیک درآمدی روزانه فقط یک بار در ۲۴ ساعت اجرا شده
W-020,T1-money-path,UNVERIFIED,E1,3,2,6,True,False,False,resolvable,ثبت تأمین‌کنندهٔ buy.nsw با اقدام ۳۰ دقیقه‌ای مالک معلق است (آیتم قهرمان سیزن)
W-021,T1-money-path,UNVERIFIED,E1,3,2,6,False,False,False,resolvable,تم آتلیه پس از اجرای قیمت‌ها همچنان Draft است — ممکن است بخشی از ویترین منتشر نشده باشد
W-024,T1-money-path,UNVERIFIED,E1,2,3,6,False,False,False,resolvable,۱۸ ردیف enrichment نقاشی verified:false مانده — اطلاعات تماس نیمه‌تأیید
W-032,T1-money-path,PARTIAL,E3,3,2,6,False,True,False,resolvable,دستهٔ ۱۰ quote در یک ثانیه (09-16T00:01:22Z) — الگوی blast که ریسک deliverability دارد
W-201,T10-infra-fleet,CONFIRMED_BLOCKER,E1,3,2,6,False,False,False,resolvable,restore_drill هرگز اجرا نشده — بزرگ‌ترین ریسک پنهان به تعبیر رجیستر خودِ GOV-V8
W-202,T10-infra-fleet,UNVERIFIED,E1,2,3,6,False,False,False,resolvable,بررسی وضعیت دیسک (smartmontools) روی ۱۳۸ FAILED است — نودی که بحران دیسک را دیده بی‌پایش است
W-203,T10-infra-fleet,CONFIRMED_BLOCKER,E1,3,2,6,False,False,False,resolvable,۱۳۸ هیچ بک‌اند snapshot ندارد (ext4 روی eMMC تک‌نقطه) — بازیابی فقط دستی است
W-209,T10-infra-fleet,CONFIRMED_BLOCKER,E3,2,3,6,False,False,False,resolvable,نود درآمد (۱۳۸) با load ۱.۰-۱.۵ مداوم کار می‌کند — سرِ ظرفیت، هر کار سنگین ریسک تأخیر دارد
W-210,T10-infra-fleet,PARTIAL,E3,2,3,6,False,False,False,resolvable,آینهٔ وضعیت پول (mirror 138→182) با کهنگی ~۹.۳ ساعت گزارش می‌شود
W-211,T10-infra-fleet,CONFIRMED_BLOCKER,E1,3,2,6,False,False,False,resolvable,بازیابی کلاس B هرگز در production اجرا نشده — مسیر rollback در لحظهٔ واقعی آزموده نیست
W-213,T10-infra-fleet,UNVERIFIED,E1,2,3,6,False,False,False,resolvable,ارزیاب ۱۱۴ و ingestion ۱۶۰ با nohup اجرا می‌شوند و units آن‌ها نصب نشده — ریسک reboot
W-214,T10-infra-fleet,CONFIRMED_BLOCKER,E3,2,3,6,False,True,False,resolvable,تایمر heartbeat تا امروز هرگز اجرا نشده بود (LAST=-) — تازه نصب شده
W-218,T10-infra-fleet,UNVERIFIED,E1,2,3,6,True,False,False,resolvable,پرچم GITWRITE-FAILED در مسیر push ساعتی هرگز پاک نشد؛ push خودکار سبز نیست
W-219,T10-infra-fleet,PARTIAL,E2,2,3,6,False,False,False,resolvable,مصرف‌کنندهٔ JetStream در ۰۹-۱۵ صفر بود (durability بدون مشتری) — الان vault-pulse وجود دارد ولی تاریخچهٔ سکوت جدی است
W-S14,T10-infra-fleet,CONFIRMED_BLOCKER,E1,3,2,6,True,False,True,resolvable,آرشیو ۳۶.۴ گیگابایتی روی S: آفلاین است و ۲۶۶ هزار فایل در دسترس نیست
W-222,T11-channels,PARTIAL,E1,2,3,6,False,True,False,resolvable,تنها کانال مشتری ایمیل است؛ هیچ کانال پیام‌رسان/وب برای پاسخ سریع وجود ندارد
W-224,T11-channels,UNVERIFIED,E2,2,3,6,False,True,False,resolvable,پیشنهادها هیچ لینک پذیرش/رد یک‌کلیکی ندارند؛ پاسخ نیازمند نوشتن ایمیل است
W-225,T11-channels,UNVERIFIED,E3,2,3,6,False,False,False,resolvable,هیچ auto-acknowledgement برای ورودی مشتری وجود ندارد؛ سکوت اولیه حس بی‌اعتمادی می‌سازد
W-226,T11-channels,UNVERIFIED,E0,3,2,6,True,False,False,resolvable,وضعیت reputation دامنهٔ ارسال (SPF/DKIM/DMARC) نامعلوم است — ریسک اسپم روی کل کانال
W-227,T11-channels,UNVERIFIED,E0,2,3,6,False,False,False,resolvable,هیچ مدیریت opt-out/unsubscribe وجود ندارد — ریسک انطباقی (AU Spam Act) روی ارسال سرد
W-228,T11-channels,UNVERIFIED,E0,2,3,6,False,True,False,resolvable,هیچ مسیر رزرو/تقویم برای جلسه با مشتری وجود ندارد
W-232,T12-buffer-external,PARTIAL,E2,2,3,6,False,True,False,resolvable,هدف اصلی در میانهٔ سیزن بازتعریف شد (GOAL_PRIMARY=REDEFINED) — ریسک churn معیار و توجه
W-234,T12-buffer-external,UNVERIFIED,E0,3,2,6,False,False,False,resolvable,اندازهٔ بازار هدف (strata NSW) هیچ‌جا اندازه‌گیری نشده — حتی تخمین مرتبهٔ بزرگی نیست
W-237,T12-buffer-external,UNVERIFIED,E1,3,2,6,True,False,False,resolvable,پیش‌نیازهای مجوز/بیمهٔ کار نقاشی (workers-comp + painter licence) در وال نیست — احتمال رد صلاحیت پیمانکاری
W-238,T12-buffer-external,UNVERIFIED,E1,3,2,6,True,False,False,resolvable,مسیر دریافت پرداخت (PayID/فاکتور رسمی) برای زیمن آماده نیست
W-036,T2-demand-market,PARTIAL,E2,3,2,6,False,True,False,resolvable,بانک سرنخ ۹۷تایی روی ۲ منبع متمرکز است؛ تنوع منبع تقاضا کم است
W-038,T2-demand-market,UNVERIFIED,E1,3,2,6,True,False,False,resolvable,پروفایل Google Business با لاگین مالک معلق است — کانال کشف محلی خاموش
W-041,T2-demand-market,UNVERIFIED,E1,3,2,6,True,False,False,resolvable,خرید از کانال دولتی (buy.nsw) به اقدام مالک گره خورده و از ۰۸-۲۴ باز مانده
W-047,T2-demand-market,PARTIAL,E2,3,2,6,False,True,False,resolvable,هیچ تعریف ICP/پرسونای خریدار وجود ندارد؛ لیست از خود فایل‌ها مشتق شده
W-048,T2-demand-market,PARTIAL,E3,2,3,6,False,True,False,resolvable,مسیر ارجاع/معرفی (referral) از مشتری موجود طراحی نشده — پایهٔ تقاضای B2B نادیده
W-053,T2-demand-market,UNVERIFIED,E1,3,2,6,True,False,False,resolvable,تقاضای محلی (Sydney/NSW) نیازمند حضور جغرافیایی و اثبات محلی است که هیچ‌کدام ثبت نشده
W-055,T2-demand-market,PARTIAL,E1,2,3,6,False,False,False,resolvable,هیچ کانال پیام‌رسان/وب‌فرم برای پاسخ آسان مشتری وجود ندارد؛ پاسخ باید ایمیل بزند
W-057,T2-demand-market,UNVERIFIED,E0,2,3,6,False,False,False,resolvable,تقاضای فصلی/زمانی مدل نشده — چه ماه‌هایی سفارش نقاشی/هدیه اوج دارد؟
W-058,T2-demand-market,UNVERIFIED,E3,2,3,6,False,False,False,resolvable,شبکهٔ توزیع زیمن (گالری/هدیه‌فروشی) هیچ اقدام توسعه‌ای ندارد
W-082,T2-demand-market,UNVERIFIED,E0,2,3,6,False,True,False,resolvable,تقاضای آنلاین/بین‌المللی آتلیه (مارکت‌پلیس/اینستاگرام) هیچ کانالی ندارد
W-064,T3-offer-product,PARTIAL,E1,2,3,6,False,False,False,resolvable,قیمت‌ها یک‌بار ×۱.۵ شد و هیچ آزمایش حساسیت قیمت نداشته
