id,domain,finding,evidence_path,evidence_timestamp,classification,criticality,producer,consumer,gate,safe_next_action,owner_decision_needed
DRS-24,deploy,repair_api به 138 نرسیده (deploy lag),main vs 138 HEAD,2026-09-03,DEPLOYED_NOT_INDEPENDENTLY_VERIFIED→SHA_MISMATCH,P0,PR#150,board,deploy policy,deploy هدفمند,yes
DRS-25,runtime,watchdog ویندوزی اسکریپت غلط را می‌راند (split-brain),MISSING-WIRING-50#3,2026-09-03(WR),REPORTED_WITH_RECEIPT,P1,tسک task,–,owner-gated,بازنشانگی,yes
DRS-26,runtime,دو تسک Observatory → Desktop حذف‌شده,MISSING-WIRING-50#1,2026-09-03(WR),REPORTED_WITH_RECEIPT,P1,tسک task,–,none,بازنشانگی به _ops,no
DRS-27,runtime,تیک تجمیع 4d از 08-23 خاموش,MISSING-WIRING-50#2,2026-09-03(WR),REPORTED_WITH_RECEIPT,P1,tسک task,POISONING-WATCH,none,فعال‌سازی,no
DRS-28,runtime,saba-bridge تولیدکنندهٔ مرده + بی‌صدا زننده,MISSING-WIRING-50#5,2026-09-03(WR),REPORTED_WITH_RECEIPT,P3,saba-bridge,beat,none,وصل یا DEAD-SOURCE,yes
DRS-29,code,effector_registry به ماژول ناموجود ارجاع دارد,effector_registry.py:95,2026-09-03(WR),CONTRADICTED,P3,registry,–,none,اصلاح provenance,no
DRS-30,code,self_improve_gauges دو DB ناموجود می‌خواند,self_improve_gauges.py:163,2026-09-03(WR),CONTRADICTED,P3,gauges,–,none,اصلاح مسیر,no
DRS-31,glass,OWNER-QUEUE.md هیچ‌جا رندر نمیشود,MISSING-WIRING-50#16,2026-09-03(WR),PRODUCER_ONLY,P1,QUEUE.md,هیچ,none,fallback گلاس,no
DRS-32,witness,FLAG-CLAIMS دست‌نویس و شاهد فقط سن میسنجد,MISSING-WIRING-50#17,2026-09-03(WR),CONSUMED_WITHOUT_RECEIPT,P1,claims,–,none,mود --remeasure,no
DRS-33,witness,harvest claim خوانده نمیشود توسط شاهد,MISSING-WIRING-50#18,2026-09-03(WR),REPORTED_WITH_RECEIPT,P1,harvest claim,witness,none,check_harvest_claim,no
DRS-34,code,memory_chain chain_verify هرگز صدا زده نمیشود,MISSING-WIRING-50#20,2026-09-03(WR),IMPLEMENTED_NOT_WIRED,P2,memory_chain,–,none,پروب دکتر,no
DRS-35,glass,telegram_glass بدون runner,MISSING-WIRING-50#26,2026-09-03(WR),CONSUMER_ONLY,P1,shell,مالک,read-only,poller,no
DRS-36,transport,board_events قرارداد بی‌transport,board_events.py docstring,2026-09-03,DOCUMENTED_NOT_IMPLEMENTED,P2,–,–,none,برچسب contract-only,no
DRS-37,code,ShopifyConnector در run.py ثبت نشده,MISSING-WIRING-50#31,2026-09-03(WR),IMPLEMENTED_NOT_WIRED,P2,connector,webhook,flag+secret,ثبت زیر فلگ,yes
DRS-38,code,BrainPort صفر فراخوان,MISSING-WIRING-50#32,2026-09-03(WR),IMPLEMENTED_NOT_WIRED,P3,BrainPort,–,none,استفاده یا DEAD-SOURCE,yes
DRS-39,budget,callbudget سراسری است نه per-tenant,MISSING-WIRING-50#33,2026-09-03(WR),IMPLEMENTED_NOT_WIRED,P3,budget,–,none,کلید bucket,no
DRS-40,transport,NATS یک کلاینت/صفر ترافیک بین‌بردی,MISSING-WIRING-50#42,2026-09-03(WR),OPEN_LOOP,P2,NATS 182,هیچ,none,اولین publisher,yes
DRS-41,nodes,آینهٔ 180 rsync fail (rc=255/credential),MISSING-WIRING-50#43,2026-09-03(WR),REPORTED_WITH_RECEIPT,P2,rsync,laptop-mirror,cred,credential یا جایگزین,yes
DRS-42,scheduler,scheduler 138 سبز ولی transport نمیفرستد,MISSING-WIRING-50#45,2026-09-03(WR),CONTRADICTED,P2,scheduler,–,none,وابستگی green به receipt,no
DRS-43,nodes,182: چهار بدهی عملیاتی (miniscientist/hang/RAM/29MB),MISSING-WIRING-50#46,2026-09-03(WR),REPORTED_WITH_RECEIPT,P2,–,–,none,چهار ترمیم جدا,no
DRS-44,recovery,restore_drill کد+تست دارد ولی روی live هرگز,restore_drill.py+PRIME report,2026-09-03,TESTED_NOT_DEPLOYED,P1,drill,–,Q7=A boundary,اجرا روی ایزوله,yes
DRS-45,recovery,POWER-CUT-TEST واقعی هرگز اجرا نشده,deploy/POWER-CUT-TEST.md,2026-09-03,DOCUMENTED_NOT_IMPLEMENTED,P1,doc,–,none,برنامهٔ تست مالک,yes
DRS-46,evidence,سرشماری ۵۶۵-آیتمی با بازهٔ گم 328-463,continuity/BLINDSPOTS-P0,2026-09-03,CONTRADICTED,P3,prior census,–,none,بازیابی MASTER-BACKUP,yes
DRS-47,queue,VERDICT_QUEUE: MAP-V1/V2 از 07-2x باز (سن بی‌پایش),نقشه-اختاپوس/VERDICT_QUEUE.md,2026-09-03,VERIFIED_REPOSITORY,P3,مالک,–,none,dashbورد سن,no
DRS-48,hygiene,wt-* و .obsidian stubها آرتیفکت والت‌شمار,VAULT-SCAN report,2026-09-03,VERIFIED_REPOSITORY,P3,git worktrees,–,none,–,no
DRS-49,evidence,README دکتر 157/157 کهنه (واقعی 168/168),OCTOPUS-DOCTOR/README,2026-09-03,CONTRADICTED,P3,doc,–,none,به‌روزرسانی با نقل‌قول,no
DRS-50,hf,صفر ارجاع HF در کل کد → هر integration از صفر و PROPOSAL,grep hf/transformers,2026-09-03,VERIFIED_REPOSITORY,P3,–,–,data-boundary,فاز research فقط,no
